RO;;;;ACIR GURGACZ
MG;;;;AECIO NEVES
SP;;;;AIRTON SANDOVAL
SP;;;;ALOYSIO NUNES
PR;;;;ALVARO DIAS
RS;;;;ANA AMELIA
RR;;;;ANGELA PORTELA
MG;;;;ANTONIO ANASTASIA
SE;;;;ANTONIO CARLOS VALADARES
PE;;;;ARMANDO MONTEIRO
TO;;;;ATAIDES OLIVEIRA
AL;;;;BENEDITO DE LIRA
MT;;;;BLAIRO MAGGI
PB;;;;CASSIO CUNHA LIMA
MT;;;;CIDINHO SANTOS
PI;;;;CIRO NOGUEIRA
DF;;;;CRISTOVAM BUARQUE
SC;;;;DALIRIO BEBER
SC;;;;DARIO BERGER
AP;;;;DAVI ALCOLUMBRE
MA;;;;EDISON LOBAO
SE;;;;EDUARDO AMORIM
AM;;;;EDUARDO BRAGA
;;;;EDUARDO LOPES
SE;;;;ELBER BATALHA
PI;;;;ELMANO FERRER
CE;;;;EUNICIO OLIVEIRA
RN;;;;FATIMA BEZERRA
PE;;;;FERNANDO BEZERRA COELHO
AL;;;;FERNANDO COLLOR
PA;;;;FLEXA RIBEIRO
RN;;;;GARIBALDI ALVES FILHO
AC;;;;GLADSON CAMELI
PR;;;;GLEISI HOFFMANN
DF;;;;HELIO JOSE
PE;;;;HUMBERTO COSTA
RO;;;;IVO CASSOL
PA;;;;JADER BARBALHO
MA;;;;JOAO ALBERTO SOUZA
AP;;;;JOAO CAPIBERIBE
AC;;;;JORGE VIANA
RN;;;;JOSE AGRIPINO
PB;;;;JOSE MARANHAO
MT;;;;JOSE MEDEIROS
CE;;;;JOSE PIMENTEL
SP;;;;JOSE SERRA
TO;;;;KATIA ABREU
RS;;;;LASIER MARTINS
BA;;;;LIDICE DA MATA
RJ;;;;LINDBERGH FARIAS
GO;;;;LUCIA VANIA
ES;;;;MAGNO MALTA
SE;;;;MARIA DO CARMO ALVES
SP;;;;MARTA SUPLICY
AM;;;;OMAR AZIZ
BA;;;;OTTO ALENCAR
SC;;;;PAULO BAUER
RS;;;;PAULO PAIM
PA;;;;PAULO ROCHA
MS;;;;PEDRO CHAVES
PB;;;;RAIMUNDO LIRA
AP;;;;RANDOLFE RODRIGUES
PI;;;;REGINA SOUSA
DF;;;;REGUFFE
AL;;;;RENAN CALHEIROS
ES;;;;RICARDO FERRACO
;;;;ROBERTO MUNIZ
PR;;;;ROBERTO REQUIAO
MA;;;;ROBERTO ROCHA
RJ;;;;ROMARIO
RR;;;;ROMERO JUCA
GO;;;;RONALDO CAIADO
ES;;;;ROSE DE FREITAS
;;;;SERGIO DE CASTRO
AC;;;;SERGIO PETECÌO
MS;;;;SIMONE TEBET
CE;;;;TASSO JEREISSATI
RR;;;;TELMARIO MOTA
RO;;;;VALDIR RAUPP
AM;;;;VANESSA GRAZZIOTIN
TO;;;;VICENTINHO ALVES
MS;;;;WALDEMIR MOKA
BA;;;;WALTER PINHEIRO
MT;;;;WELLINGTON FAGUNDES
GO;;;;WILDER MORAIS
MG;;;;ZEZE PERRELLA
